"SAT.V","SAT.Q","SAT.C","School","GPA","Status"
770,800,1570,"NATURAL SCIENCE",3.7338,"G"
670,700,1370,"BUSINESS",3.23,"G"
500,530,1030,"LIBERAL ARTS",2.1,"G"
600,650,1250,"LIBERAL ARTS",3.3737,"G"
730,590,1320,"COMMUNICATIONS",3.1652,"G"
800,710,1510,"COMMUNICATIONS",2.6588,"G"
590,590,1180,"ENGINEERING",3.7815,"G"
570,600,1170,"FINE ARTS",3.1111,"G"
560,690,1250,"NATURAL SCIENCE",2.7602,"G"
650,650,1300,"LIBERAL ARTS",3.6923,"G"
560,490,1050,"LIBERAL ARTS",3.2142,"G"
540,550,1090,"LIBERAL ARTS",2.7588,"G"
690,790,1480,"BUSINESS",2.878,"G"
720,660,1380,"NATURAL SCIENCE",2.823,"G"
580,630,1210,"BUSINESS",2.9523,"G"
530,510,1040,"LIBERAL ARTS",2.9705,"G"
700,590,1290,"LIBERAL ARTS",3.9024,"G"
600,580,1180,"LIBERAL ARTS",3.6693,"G"
640,560,1200,"LIBERAL ARTS",3.1666,"G"
710,800,1510,"NATURAL SCIENCE",3.4827,"G"
580,690,1270,"BUSINESS",3.9237,"G"
730,740,1470,"LIBERAL ARTS",3.4277,"G"
390,430,820,"LIBERAL ARTS",2.4121,"G"
540,630,1170,"BUSINESS",3.2818,"G"
540,670,1210,"ENGINEERING",2.6356,"G"
720,710,1430,"LIBERAL ARTS",2.7435,"G"
510,520,1030,"NATURAL SCIENCE",3.0687,"G"
690,610,1300,"ENGINEERING",3.6339,"G"
590,560,1150,"NATURAL SCIENCE",2.5462,"G"
580,790,1370,"NATURAL SCIENCE",3.3879,"G"
590,740,1330,"NATURAL SCIENCE",3.7121,"G"
570,470,1040,"COMMUNICATIONS",2.6057,"G"
690,710,1400,"LIBERAL ARTS",3.584,"G"
660,640,1300,"LIBERAL ARTS",3.7913,"G"
560,640,1200,"ENGINEERING",2.875,"G"
570,690,1260,"NATURAL SCIENCE",2.7894,"G"
570,510,1080,"LIBERAL ARTS",2.9032,"G"
610,570,1180,"BUSINESS",3.1333,"G"
640,530,1170,"EDUCATION",3.9117,"G"
670,730,1400,"BUSINESS",3.3508,"G"
610,630,1240,"COMMUNICATIONS",3.6915,"G"
660,550,1210,"LIBERAL ARTS",3.7079,"G"
730,690,1420,"NATURAL SCIENCE",3.0598,"G"
500,510,1010,"LIBERAL ARTS",2.8448,"G"
730,770,1500,"NATURAL SCIENCE",3.416,"G"
580,680,1260,"NATURAL SCIENCE",3.2061,"G"
570,560,1130,"COMMUNICATIONS",3.4226,"G"
520,640,1160,"LIBERAL ARTS",3.3939,"G"
530,590,1120,"LIBERAL ARTS",2.661,"G"
450,490,940,"ENGINEERING",2.4393,"G"
490,620,1110,"BUSINESS",3.2429,"G"
550,490,1040,"EDUCATION",2.4369,"G"
410,410,820,"LIBERAL ARTS",2.7567,"G"
600,600,1200,"LIBERAL ARTS",2.8444,"G"
530,620,1150,"BUSINESS",3.125,"G"
600,720,1320,"BUSINESS",3.8496,"G"
530,480,1010,"LIBERAL ARTS",2.309,"G"
500,580,1080,"ENGINEERING",2.2214,"G"
730,670,1400,"COMMUNICATIONS",4,"G"
600,640,1240,"NATURAL SCIENCE",3.0857,"G"
600,590,1190,"LIBERAL ARTS",2.6371,"G"
660,650,1310,"COMMUNICATIONS",3.3258,"G"
610,670,1280,"COMMUNICATIONS",3.3955,"G"
700,650,1350,"BUSINESS",3.5179,"G"
520,580,1100,"NATURAL SCIENCE",3.2592,"G"
500,460,960,"COMMUNICATIONS",3.1632,"G"
660,650,1310,"NATURAL SCIENCE",3.0943,"G"
590,510,1100,"NATURAL SCIENCE",2.6554,"G"
650,610,1260,"LIBERAL ARTS",3.0625,"G"
690,690,1380,"FINE ARTS",3.6492,"G"
550,680,1230,"LIBERAL ARTS",2.5762,"G"
610,660,1270,"COMMUNICATIONS",3.5581,"G"
790,630,1420,"BUSINESS",3.6818,"G"
600,680,1280,"LIBERAL ARTS",3.3225,"G"
670,780,1450,"NATURAL SCIENCE",3.7364,"G"
650,680,1330,"NATURAL SCIENCE",2.8776,"G"
590,590,1180,"COMMUNICATIONS",3.4363,"G"
510,570,1080,"ENGINEERING",2.7658,"G"
680,660,1340,"BUSINESS",3.5928,"G"
590,670,1260,"BUSINESS",3.6837,"G"
720,730,1450,"LIBERAL ARTS",3.9019,"G"
760,790,1550,"BUSINESS",3.7265,"G"
520,470,990,"LIBERAL ARTS",2.8303,"G"
580,650,1230,"EDUCATION",3.5963,"G"
570,680,1250,"ENGINEERING",3.9318,"G"
560,540,1100,"LIBERAL ARTS",2.918,"G"
560,640,1200,"LIBERAL ARTS",3.5897,"G"
630,610,1240,"NATURAL SCIENCE",3.4573,"G"
580,600,1180,"BUSINESS",3.4876,"G"
660,590,1250,"LIBERAL ARTS",3.8039,"G"
530,550,1080,"NATURAL SCIENCE",2.4154,"G"
760,690,1450,"LIBERAL ARTS",3.5514,"G"
690,580,1270,"LIBERAL ARTS",2.1733,"G"
450,670,1120,"ENGINEERING",2.217,"G"
440,520,960,"LIBERAL ARTS",3.2291,"G"
490,490,980,"COMMUNICATIONS",3.0109,"G"
570,680,1250,"NATURAL SCIENCE",3.3277,"G"
620,590,1210,"LIBERAL ARTS",3.8823,"G"
560,650,1210,"EDUCATION",2.2804,"G"
540,440,980,"LIBERAL ARTS",2.2857,"G"
650,630,1280,"LIBERAL ARTS",3.6528,"G"
730,790,1520,"ENGINEERING",3.9358,"G"
450,420,870,"EDUCATION",2.3057,"G"
560,690,1250,"BUSINESS",2.6216,"G"
440,480,920,"LIBERAL ARTS",3.2288,"G"
540,720,1260,"ENGINEERING",2.4358,"G"
540,690,1230,"BUSINESS",3.252,"G"
560,630,1190,"LIBERAL ARTS",3.4453,"G"
510,550,1060,"LIBERAL ARTS",3.3559,"G"
720,630,1350,"NATURAL SCIENCE",3.188,"G"
770,740,1510,"NATURAL SCIENCE",3.3282,"G"
570,630,1200,"BUSINESS",3.835,"G"
560,580,1140,"EDUCATION",3.5937,"G"
670,600,1270,"LIBERAL ARTS",3.3274,"G"
510,500,1010,"LIBERAL ARTS",3.1205,"G"
500,470,970,"LIBERAL ARTS",2.3555,"G"
720,690,1410,"LIBERAL ARTS",3.5483,"G"
570,560,1130,"LIBERAL ARTS",2.9622,"G"
600,670,1270,"LIBERAL ARTS",2.8644,"G"
800,590,1390,"FINE ARTS",3.9177,"G"
680,560,1240,"FINE ARTS",3.4214,"G"
750,650,1400,"LIBERAL ARTS",4,"G"
500,550,1050,"LIBERAL ARTS",3.3793,"G"
580,790,1370,"ENGINEERING",3.9469,"G"
460,590,1050,"LIBERAL ARTS",2.2704,"G"
640,580,1220,"NATURAL SCIENCE",2.7747,"G"
540,630,1170,"NATURAL SCIENCE",3.6929,"G"
730,630,1360,"FINE ARTS",3.8235,"G"
460,480,940,"BUSINESS",3.0693,"G"
470,560,1030,"LIBERAL ARTS",2.1513,"G"
540,600,1140,"BUSINESS",3.4642,"G"
680,590,1270,"NATURAL SCIENCE",3.7384,"G"
640,770,1410,"LIBERAL ARTS",3.6956,"G"
650,710,1360,"ENGINEERING",3.6666,"G"
600,530,1130,"NATURAL SCIENCE",3.3396,"G"
610,610,1220,"FINE ARTS",3.0612,"G"
600,610,1210,"ENGINEERING",3.5273,"G"
470,590,1060,"NATURAL SCIENCE",3.2807,"G"
570,650,1220,"BUSINESS",3.4336,"G"
460,530,990,"LIBERAL ARTS",3.5794,"G"
620,510,1130,"COMMUNICATIONS",3.4105,"G"
470,490,960,"LIBERAL ARTS",3.2075,"G"
540,470,1010,"LIBERAL ARTS",2.8888,"G"
480,660,1140,"BUSINESS",3.8018,"G"
420,600,1020,"LIBERAL ARTS",3.202,"G"
630,660,1290,"EDUCATION",3.9545,"G"
760,670,1430,"BUSINESS",3.9318,"G"
470,590,1060,"NATURAL SCIENCE",2.9189,"G"
500,510,1010,"LIBERAL ARTS",3.8352,"G"
530,520,1050,"LIBERAL ARTS",3.2991,"G"
590,660,1250,"BUSINESS",3.542,"G"
720,680,1400,"BUSINESS",3.8934,"G"
530,580,1110,"NATURAL SCIENCE",2.1562,"G"
660,650,1310,"BUSINESS",3.4402,"G"
660,550,1210,"COMMUNICATIONS",3.4567,"G"
460,570,1030,"LIBERAL ARTS",3.2446,"G"
720,710,1430,"LIBERAL ARTS",3.7378,"G"
630,770,1400,"ENGINEERING",3.3125,"G"
710,620,1330,"NATURAL SCIENCE",3.752,"G"
670,490,1160,"EDUCATION",2.9062,"G"
600,700,1300,"BUSINESS",3.4356,"G"
510,540,1050,"LIBERAL ARTS",2.379,"G"
670,620,1290,"BUSINESS",3.5877,"G"
610,660,1270,"ENGINEERING",3.3089,"G"
620,600,1220,"LIBERAL ARTS",2.5046,"G"
710,670,1380,"COMMUNICATIONS",3.2705,"G"
490,660,1150,"ENGINEERING",3.9464,"G"
630,560,1190,"COMMUNICATIONS",3.7669,"G"
520,530,1050,"BUSINESS",3.3861,"G"
620,660,1280,"NATURAL SCIENCE",2.888,"G"
630,590,1220,"LIBERAL ARTS",3.7368,"G"
630,620,1250,"BUSINESS",3.752,"G"
460,580,1040,"LIBERAL ARTS",3.27,"G"
570,690,1260,"NATURAL SCIENCE",3.35,"G"
630,610,1240,"LIBERAL ARTS",2.6279,"G"
580,530,1110,"LIBERAL ARTS",3.0666,"G"
490,520,1010,"LIBERAL ARTS",2.4452,"G"
530,620,1150,"BUSINESS",3.2966,"G"
480,600,1080,"NATURAL SCIENCE",3.2869,"G"
490,480,970,"NATURAL SCIENCE",2.3009,"G"
730,690,1420,"LIBERAL ARTS",2.8839,"G"
640,650,1290,"LIBERAL ARTS",3.0151,"G"
560,730,1290,"ENGINEERING",2.8181,"G"
790,760,1550,"LIBERAL ARTS",2.9134,"G"
610,590,1200,"COMMUNICATIONS",2.977,"G"
610,600,1210,"LIBERAL ARTS",3.0958,"G"
590,510,1100,"LIBERAL ARTS",2.5086,"G"
600,700,1300,"NATURAL SCIENCE",3.2647,"G"
580,600,1180,"ENGINEERING",3.1102,"G"
800,670,1470,"COMMUNICATIONS",3.25,"G"
700,800,1500,"ENGINEERING",3.8467,"G"
530,570,1100,"LIBERAL ARTS",3.6559,"G"
500,620,1120,"LIBERAL ARTS",3.6785,"G"
560,560,1120,"LIBERAL ARTS",2.921,"G"
650,630,1280,"ENGINEERING",3.2944,"G"
630,630,1260,"NATURAL SCIENCE",2.8359,"G"
540,530,1070,"EDUCATION",3.1349,"G"
610,690,1300,"ENGINEERING",2.8869,"G"
540,600,1140,"NATURAL SCIENCE",3.116,"G"
620,630,1250,"COMMUNICATIONS",3.568,"G"
590,540,1130,"LIBERAL ARTS",3.0438,"G"
590,640,1230,"LIBERAL ARTS",3.1271,"G"
460,470,930,"COMMUNICATIONS",3.1325,"G"
520,640,1160,"LIBERAL ARTS",2.75,"G"
630,760,1390,"BUSINESS",2.1849,"G"
640,570,1210,"LIBERAL ARTS",2.8623,"G"
670,770,1440,"ENGINEERING",3.826,"G"
670,720,1390,"LIBERAL ARTS",3.6666,"G"
500,540,1040,"NATURAL SCIENCE",3.7304,"G"
490,630,1120,"LIBERAL ARTS",2.9203,"G"
500,580,1080,"LIBERAL ARTS",3.1354,"G"
560,640,1200,"ENGINEERING",3.2847,"G"
520,610,1130,"LIBERAL ARTS",2.7874,"G"
630,630,1260,"NATURAL SCIENCE",3.3949,"G"
480,570,1050,"LIBERAL ARTS",3.2187,"G"
640,800,1440,"ENGINEERING",3.8267,"G"
770,730,1500,"NATURAL SCIENCE",3.4077,"G"
610,620,1230,"LIBERAL ARTS",3.5495,"G"
700,790,1490,"LIBERAL ARTS",3.9821,"G"
640,710,1350,"LIBERAL ARTS",3.1623,"G"
530,510,1040,"BUSINESS",3.116,"G"
580,740,1320,"NATURAL SCIENCE",3.5126,"G"
610,610,1220,"NATURAL SCIENCE",3.4519,"G"
560,670,1230,"BUSINESS",3.0176,"G"
530,670,1200,"ENGINEERING",2.8811,"G"
640,590,1230,"LIBERAL ARTS",3.2457,"G"
580,630,1210,"SOCIAL WORK",2.5934,"G"
540,520,1060,"LIBERAL ARTS",3.2038,"G"
620,660,1280,"BUSINESS",3.2037,"G"
580,560,1140,"LIBERAL ARTS",3.3392,"G"
730,590,1320,"BUSINESS",3.3949,"G"
750,710,1460,"LIBERAL ARTS",3.6095,"G"
570,580,1150,"LIBERAL ARTS",2.9512,"G"
380,590,970,"BUSINESS",3.5086,"G"
660,620,1280,"LIBERAL ARTS",3.7903,"G"
600,550,1150,"COMMUNICATIONS",3.1595,"G"
650,560,1210,"LIBERAL ARTS",3.4718,"G"
710,710,1420,"ARCHITECTURE",3.4197,"G"
570,620,1190,"EDUCATION",3.3033,"G"
670,650,1320,"ENGINEERING",3.7163,"G"
600,650,1250,"LIBERAL ARTS",2.2857,"G"
590,560,1150,"COMMUNICATIONS",2.9745,"G"
440,520,960,"NATURAL SCIENCE",3.3135,"G"
540,470,1010,"NURSING",2.8416,"G"
580,630,1210,"LIBERAL ARTS",3.1683,"G"
630,580,1210,"NATURAL SCIENCE",2.9579,"G"
720,680,1400,"ENGINEERING",2.8666,"G"
600,610,1210,"LIBERAL ARTS",2.7578,"G"
480,550,1030,"LIBERAL ARTS",3.3688,"G"
540,490,1030,"NURSING",3.1932,"G"
610,670,1280,"NATURAL SCIENCE",3.3859,"G"
660,690,1350,"LIBERAL ARTS",3.5909,"G"
570,730,1300,"ENGINEERING",3.2847,"G"
700,780,1480,"NATURAL SCIENCE",3.2051,"G"
580,590,1170,"LIBERAL ARTS",3.8369,"G"
520,510,1030,"NATURAL SCIENCE",3.0819,"G"
640,670,1310,"ENGINEERING",3.4818,"G"
610,540,1150,"LIBERAL ARTS",3.7247,"G"
580,560,1140,"LIBERAL ARTS",3.3297,"G"
560,530,1090,"LIBERAL ARTS",3.1013,"G"
750,720,1470,"BUSINESS",3.6511,"G"
570,750,1320,"NATURAL SCIENCE",3.2419,"G"
520,560,1080,"ENGINEERING",3.24,"G"
540,670,1210,"NATURAL SCIENCE",2.7685,"G"
510,690,1200,"LIBERAL ARTS",2.4586,"G"
700,720,1420,"BUSINESS",3.8434,"G"
620,740,1360,"BUSINESS",3.7956,"G"
560,520,1080,"LIBERAL ARTS",3.9166,"G"
550,690,1240,"LIBERAL ARTS",3.289,"G"
540,700,1240,"NATURAL SCIENCE",2.8846,"G"
670,580,1250,"BUSINESS",2.9909,"G"
690,580,1270,"BUSINESS",2.6435,"G"
620,690,1310,"COMMUNICATIONS",3.5846,"G"
650,720,1370,"FINE ARTS",3.0854,"G"
530,490,1020,"LIBERAL ARTS",2.81,"G"
530,620,1150,"LIBERAL ARTS",3.1451,"G"
620,580,1200,"ENGINEERING",2.0404,"G"
480,370,850,"LIBERAL ARTS",3.63,"G"
670,690,1360,"BUSINESS",3.5164,"G"
650,620,1270,"LIBERAL ARTS",2.7246,"G"
640,740,1380,"NATURAL SCIENCE",3.9058,"G"
660,560,1220,"LIBERAL ARTS",3.7905,"G"
630,600,1230,"LIBERAL ARTS",3.0123,"G"
800,790,1590,"NATURAL SCIENCE",3.8809,"G"
600,530,1130,"COMMUNICATIONS",3.7857,"G"
570,520,1090,"NATURAL SCIENCE",2.3673,"G"
740,670,1410,"BUSINESS",3.7822,"G"
530,680,1210,"LIBERAL ARTS",2.807,"G"
800,710,1510,"LIBERAL ARTS",3.336,"G"
750,720,1470,"NATURAL SCIENCE",3.8174,"G"
510,540,1050,"LIBERAL ARTS",3.2589,"G"
660,610,1270,"FINE ARTS",3.7577,"G"
570,660,1230,"ENGINEERING",2.9677,"G"
570,700,1270,"COMMUNICATIONS",3.2846,"G"
470,520,990,"LIBERAL ARTS",2.8611,"G"
560,550,1110,"NATURAL SCIENCE",3.5568,"G"
530,510,1040,"NATURAL SCIENCE",3.2429,"G"
540,620,1160,"NATURAL SCIENCE",3.5572,"G"
710,800,1510,"NATURAL SCIENCE",3.2307,"G"
430,450,880,"BUSINESS",2.8913,"G"
600,590,1190,"LIBERAL ARTS",2.4965,"G"
800,640,1440,"BUSINESS",3.7,"G"
530,540,1070,"NATURAL SCIENCE",3.1071,"G"
620,710,1330,"FINE ARTS",3.5327,"G"
570,640,1210,"COMMUNICATIONS",3.2828,"G"
610,550,1160,"LIBERAL ARTS",3.042,"G"
610,650,1260,"NATURAL SCIENCE",3.7768,"G"
570,700,1270,"ENGINEERING",2.8287,"G"
480,420,900,"COMMUNICATIONS",2.8717,"G"
560,590,1150,"ENGINEERING",2.8979,"G"
580,540,1120,"LIBERAL ARTS",2.9855,"G"
510,560,1070,"BUSINESS",3.2038,"G"
650,740,1390,"NATURAL SCIENCE",3.4716,"G"
760,800,1560,"NATURAL SCIENCE",3.862,"G"
630,660,1290,"NATURAL SCIENCE",3.2521,"G"
570,640,1210,"NATURAL SCIENCE",3.5294,"G"
600,720,1320,"NATURAL SCIENCE",3.8333,"G"
570,530,1100,"LIBERAL ARTS",3.3367,"G"
570,620,1190,"LIBERAL ARTS",3.6785,"G"
550,620,1170,"LIBERAL ARTS",3.6036,"G"
600,610,1210,"ENGINEERING",3.5739,"G"
570,660,1230,"LIBERAL ARTS",3.0573,"G"
590,790,1380,"ENGINEERING",3.6588,"G"
660,590,1250,"BUSINESS",3.7653,"G"
470,590,1060,"LIBERAL ARTS",3.0176,"G"
720,770,1490,"LIBERAL ARTS",3.9527,"G"
520,650,1170,"LIBERAL ARTS",2.6017,"G"
590,540,1130,"NURSING",3.1965,"G"
620,550,1170,"LIBERAL ARTS",2.7572,"G"
540,580,1120,"ENGINEERING",2.4375,"G"
600,500,1100,"NATURAL SCIENCE",2.805,"G"
580,590,1170,"NATURAL SCIENCE",3.3211,"G"
580,640,1220,"NATURAL SCIENCE",3.2347,"G"
650,610,1260,"NATURAL SCIENCE",2.8461,"G"
720,640,1360,"LIBERAL ARTS",3.7,"G"
440,410,850,"LIBERAL ARTS",2.6141,"G"
530,510,1040,"NATURAL SCIENCE",2.4765,"G"
590,510,1100,"LIBERAL ARTS",2.4424,"G"
570,680,1250,"NATURAL SCIENCE",3.9242,"G"
510,620,1130,"ENGINEERING",3.1944,"G"
690,670,1360,"COMMUNICATIONS",3.9479,"G"
620,710,1330,"LIBERAL ARTS",3.1891,"G"
620,680,1300,"NATURAL SCIENCE",2.8555,"G"
470,540,1010,"NATURAL SCIENCE",2.9295,"G"
710,630,1340,"BUSINESS",3.6632,"G"
450,460,910,"LIBERAL ARTS",2.8435,"G"
650,610,1260,"LIBERAL ARTS",3.3508,"G"
640,670,1310,"FINE ARTS",3.909,"G"
450,520,970,"ENGINEERING",3.0357,"G"
590,610,1200,"NATURAL SCIENCE",3.5412,"G"
680,710,1390,"FINE ARTS",2.9635,"G"
610,720,1330,"NATURAL SCIENCE",3.1631,"G"
710,630,1340,"ENGINEERING",3.8264,"G"
570,600,1170,"BUSINESS",3.088,"G"
580,590,1170,"NATURAL SCIENCE",2.6171,"G"
650,600,1250,"NATURAL SCIENCE",3.4833,"G"
570,590,1160,"BUSINESS",2.8921,"G"
600,570,1170,"NURSING",4,"G"
700,710,1410,"NATURAL SCIENCE",3.7126,"G"
590,580,1170,"BUSINESS",3.0583,"G"
520,640,1160,"ENGINEERING",3.2477,"G"
640,700,1340,"NATURAL SCIENCE",3.7795,"G"
630,640,1270,"NATURAL SCIENCE",3.6489,"G"
620,590,1210,"COMMUNICATIONS",3.3925,"G"
640,540,1180,"LIBERAL ARTS",2.7731,"G"
550,580,1130,"LIBERAL ARTS",3.1058,"G"
490,590,1080,"NATURAL SCIENCE",3.2222,"G"
750,660,1410,"LIBERAL ARTS",3.3203,"G"
510,440,950,"LIBERAL ARTS",2.9084,"G"
660,720,1380,"LIBERAL ARTS",3.304,"G"
550,460,1010,"FINE ARTS",3,"G"
640,710,1350,"ENGINEERING",3.0957,"G"
650,520,1170,"LIBERAL ARTS",2.9642,"G"
610,690,1300,"ENGINEERING",2.8714,"G"
630,690,1320,"LIBERAL ARTS",3.2032,"G"
590,560,1150,"NATURAL SCIENCE",3,"G"
500,660,1160,"NATURAL SCIENCE",2.0729,"G"
600,620,1220,"ENGINEERING",2.406,"G"
580,650,1230,"NATURAL SCIENCE",3.3442,"G"
570,580,1150,"LIBERAL ARTS",3.1875,"G"
640,560,1200,"NATURAL SCIENCE",3.7724,"G"
630,700,1330,"LIBERAL ARTS",3.7551,"G"
540,480,1020,"LIBERAL ARTS",2.27,"G"
660,610,1270,"COMMUNICATIONS",3.6146,"G"
600,560,1160,"LIBERAL ARTS",2.8244,"G"
510,430,940,"LIBERAL ARTS",2.7205,"G"
550,560,1110,"FINE ARTS",3.4123,"G"
640,520,1160,"LIBERAL ARTS",2.6428,"G"
560,490,1050,"COMMUNICATIONS",3.3333,"G"
630,660,1290,"BUSINESS",3.0638,"G"
650,520,1170,"LIBERAL ARTS",3.7338,"G"
660,730,1390,"BUSINESS",3.8604,"G"
470,520,990,"LIBERAL ARTS",2.4818,"G"
680,690,1370,"NATURAL SCIENCE",3.3217,"G"
800,790,1590,"BUSINESS",4,"G"
650,750,1400,"ENGINEERING",3.619,"G"
440,420,860,"COMMUNICATIONS",2.6635,"G"
560,590,1150,"BUSINESS",3.3716,"G"
470,550,1020,"LIBERAL ARTS",2.6349,"G"
730,630,1360,"NATURAL SCIENCE",2.3834,"G"
500,540,1040,"LIBERAL ARTS",2.3106,"G"
510,550,1060,"ENGINEERING",2.7226,"G"
710,670,1380,"BUSINESS",3.6,"G"
510,710,1220,"BUSINESS",3.1612,"G"
650,700,1350,"BUSINESS",3.5576,"G"
560,520,1080,"LIBERAL ARTS",3.5403,"G"
800,790,1590,"NATURAL SCIENCE",3.76,"G"
680,690,1370,"NATURAL SCIENCE",3.2307,"G"
680,600,1280,"COMMUNICATIONS",3.164,"G"
730,700,1430,"ARCHITECTURE",3.0268,"G"
610,580,1190,"LIBERAL ARTS",2.602,"G"
570,630,1200,"LIBERAL ARTS",3.31,"G"
590,620,1210,"NATURAL SCIENCE",2.8365,"G"
530,580,1110,"NATURAL SCIENCE",2.628,"G"
500,590,1090,"EDUCATION",3.163,"G"
680,680,1360,"LIBERAL ARTS",4,"G"
520,520,1040,"NATURAL SCIENCE",2.7765,"G"
490,540,1030,"ENGINEERING",2.6269,"G"
520,620,1140,"LIBERAL ARTS",3.9022,"G"
640,680,1320,"LIBERAL ARTS",3.5677,"G"
520,500,1020,"NATURAL SCIENCE",2.5603,"G"
500,550,1050,"LIBERAL ARTS",2.8118,"G"
700,640,1340,"BUSINESS",3.8157,"G"
560,640,1200,"ENGINEERING",2.3223,"G"
600,770,1370,"ENGINEERING",3.0388,"G"
580,620,1200,"BUSINESS",3.5181,"G"
650,700,1350,"NATURAL SCIENCE",2.8225,"G"
370,360,730,"COMMUNICATIONS",2.7466,"G"
450,500,950,"LIBERAL ARTS",3.4929,"G"
400,480,880,"NURSING",2.6825,"G"
520,640,1160,"BUSINESS",2.6933,"G"
660,560,1220,"EDUCATION",3.2352,"G"
510,560,1070,"BUSINESS",3.4444,"G"
600,600,1200,"NATURAL SCIENCE",3.3925,"G"
660,630,1290,"LIBERAL ARTS",3.5433,"G"
670,720,1390,"NATURAL SCIENCE",3.3985,"G"
710,670,1380,"LIBERAL ARTS",3.5328,"G"
540,680,1220,"BUSINESS",3.8442,"G"
510,620,1130,"ENGINEERING",3.6721,"G"
530,540,1070,"EDUCATION",2.0236,"G"
620,590,1210,"LIBERAL ARTS",2.5744,"G"
630,650,1280,"ENGINEERING",2.9024,"G"
710,740,1450,"BUSINESS",3.2285,"G"
580,590,1170,"LIBERAL ARTS",2.4573,"G"
710,760,1470,"BUSINESS",3.7692,"G"
430,470,900,"NATURAL SCIENCE",3.0089,"G"
310,340,650,"EDUCATION",2.3543,"G"
590,600,1190,"BUSINESS",2.3666,"G"
740,570,1310,"LIBERAL ARTS",3.5217,"G"
680,610,1290,"FINE ARTS",3.4388,"G"
580,670,1250,"BUSINESS",3.5858,"G"
620,700,1320,"BUSINESS",3.5596,"G"
650,640,1290,"ENGINEERING",3.712,"G"
680,740,1420,"NATURAL SCIENCE",3.7348,"G"
560,590,1150,"NATURAL SCIENCE",2.9,"G"
680,670,1350,"COMMUNICATIONS",3.8778,"G"
530,620,1150,"COMMUNICATIONS",3.5769,"G"
540,610,1150,"LIBERAL ARTS",2.4629,"G"
510,630,1140,"ENGINEERING",3.0675,"G"
530,530,1060,"LIBERAL ARTS",2.4666,"G"
800,650,1450,"BUSINESS",3.9469,"G"
480,490,970,"NURSING",2.756,"G"
560,570,1130,"ENGINEERING",3.9478,"G"
450,560,1010,"BUSINESS",3.2867,"G"
600,520,1120,"LIBERAL ARTS",2.6476,"G"
540,720,1260,"LIBERAL ARTS",2.7706,"G"
570,710,1280,"ENGINEERING",3.844,"G"
620,630,1250,"NATURAL SCIENCE",3.1619,"G"
630,800,1430,"NATURAL SCIENCE",2.0333,"G"
470,620,1090,"LIBERAL ARTS",2.8201,"G"
640,430,1070,"COMMUNICATIONS",2.1804,"G"
560,690,1250,"ENGINEERING",2.7007,"G"
590,630,1220,"NATURAL SCIENCE",3.8521,"G"
610,690,1300,"NATURAL SCIENCE",3.2196,"G"
430,710,1140,"NATURAL SCIENCE",3.9393,"G"
570,710,1280,"NATURAL SCIENCE",3.4796,"G"
570,680,1250,"ENGINEERING",3.4344,"G"
620,640,1260,"ENGINEERING",2.3941,"G"
450,480,930,"BUSINESS",2.7984,"G"
460,560,1020,"LIBERAL ARTS",3.3804,"G"
740,670,1410,"LIBERAL ARTS",3.0661,"G"
650,760,1410,"ENGINEERING",3.8914,"G"
560,590,1150,"BUSINESS",3.1415,"G"
590,560,1150,"LIBERAL ARTS",3.2298,"G"
500,600,1100,"BUSINESS",3.1553,"G"
480,420,900,"BUSINESS",3.0973,"G"
670,630,1300,"LIBERAL ARTS",2.8316,"G"
490,680,1170,"NATURAL SCIENCE",3.3846,"G"
580,590,1170,"LIBERAL ARTS",3.6037,"G"
530,610,1140,"NATURAL SCIENCE",2.9696,"G"
730,690,1420,"BUSINESS",4,"G"
630,660,1290,"ENGINEERING",2.7364,"G"
700,640,1340,"LIBERAL ARTS",3.4059,"G"
580,640,1220,"LIBERAL ARTS",3.8536,"G"
510,590,1100,"NATURAL SCIENCE",3.5982,"G"
590,620,1210,"COMMUNICATIONS",3.5368,"G"
650,750,1400,"LIBERAL ARTS",3.7669,"G"
570,630,1200,"LIBERAL ARTS",2.923,"G"
640,670,1310,"COMMUNICATIONS",3.88,"G"
560,660,1220,"LIBERAL ARTS",2.9133,"G"
530,610,1140,"NATURAL SCIENCE",2.9009,"G"
560,650,1210,"BUSINESS",2.2982,"G"
480,510,990,"LIBERAL ARTS",3.2016,"G"
660,520,1180,"FINE ARTS",2.3333,"G"
570,600,1170,"LIBERAL ARTS",3.4701,"G"
670,680,1350,"NATURAL SCIENCE",3.3,"G"
520,590,1110,"LIBERAL ARTS",3.808,"G"
590,690,1280,"FINE ARTS",3.669,"G"
490,590,1080,"LIBERAL ARTS",2.6754,"G"
620,660,1280,"LIBERAL ARTS",3.1428,"G"
730,640,1370,"NATURAL SCIENCE",2.7933,"G"
520,480,1000,"LIBERAL ARTS",2.5736,"G"
690,620,1310,"NATURAL SCIENCE",3.2802,"G"
480,560,1040,"LIBERAL ARTS",2.5692,"G"
700,500,1200,"COMMUNICATIONS",2.3846,"G"
710,540,1250,"LIBERAL ARTS",3.673,"G"
540,620,1160,"LIBERAL ARTS",2.633,"G"
480,630,1110,"FINE ARTS",3.6126,"G"
500,670,1170,"LIBERAL ARTS",3.6111,"G"
660,710,1370,"BUSINESS",3.1607,"G"
580,580,1160,"FINE ARTS",2.3145,"G"
650,580,1230,"LIBERAL ARTS",3.238,"G"
