"Opening","Solder","Mask","PadType","Panel","skips"
"S","Thick","B6","L7",2,21
"S","Thick","B6","L7",3,13
"S","Thick","B6","L8",1,14
"S","Thick","B6","L8",2,15
"S","Thick","B6","L8",3,11
"S","Thick","B6","W9",1,2
"S","Thick","B6","W9",2,5
"S","Thick","B6","W9",3,5
"S","Thick","B6","L9",1,10
"S","Thick","B6","L9",2,7
"S","Thick","B6","L9",3,8
"L","Thin","B6","W4",1,13
"L","Thin","B6","W4",2,11
"L","Thin","B6","W4",3,17
"L","Thin","B6","D4",1,4
"L","Thin","B6","D4",2,11
"L","Thin","B6","D4",3,15
"L","Thin","B6","L4",1,6
"L","Thin","B6","L4",2,17
"L","Thin","B6","L4",3,12
"L","Thin","B6","D6",1,3
"L","Thin","B6","D6",2,3
"L","Thin","B6","D6",3,7
"L","Thin","B6","L6",1,4
"L","Thin","B6","L6",2,6
"L","Thin","B6","L6",3,3
"L","Thin","B6","D7",1,7
"L","Thin","B6","D7",2,11
"L","Thin","B6","D7",3,10
"L","Thin","B6","L7",1,3
"L","Thin","B6","L7",2,3
"L","Thin","B6","L7",3,5
"L","Thin","B6","L8",1,5
"L","Thin","B6","L8",2,11
"L","Thin","B6","L8",3,9
"L","Thin","B6","W9",1,1
"L","Thin","B6","W9",2,0
"L","Thin","B6","W9",3,0
"L","Thin","B6","L9",1,7
"L","Thin","B6","L9",2,8
"L","Thin","B6","L9",3,4
"M","Thin","B6","W4",1,5
"M","Thin","B6","W4",2,7
"M","Thin","B6","W4",3,9
"M","Thin","B6","D4",1,5
"M","Thin","B6","D4",2,21
"M","Thin","B6","D4",3,14
"M","Thin","B6","L4",1,9
"M","Thin","B6","L4",2,17
"M","Thin","B6","L4",3,15
"M","Thin","B6","D6",1,3
"M","Thin","B6","D6",2,7
"M","Thin","B6","D6",3,4
"M","Thin","B6","L6",1,5
"M","Thin","B6","L6",2,4
"M","Thin","B6","L6",3,4
"M","Thin","B6","D7",1,7
"M","Thin","B6","D7",2,14
"M","Thin","B6","D7",3,7
"M","Thin","B6","L7",1,7
"M","Thin","B6","L7",2,7
"M","Thin","B6","L7",3,4
"M","Thin","B6","L8",1,8
"M","Thin","B6","L8",2,5
"M","Thin","B6","L8",3,11
"M","Thin","B6","W9",1,3
"M","Thin","B6","W9",2,4
"M","Thin","B6","W9",3,5
"M","Thin","B6","L9",1,0
"M","Thin","B6","L9",2,8
"M","Thin","B6","L9",3,9
"S","Thin","B6","W4",1,46
"S","Thin","B6","W4",2,48
"S","Thin","B6","W4",3,45
"S","Thin","B6","D4",1,39
"S","Thin","B6","D4",2,44
"S","Thin","B6","D4",3,45
"S","Thin","B6","L4",1,39
"S","Thin","B6","L4",2,41
"S","Thin","B6","L4",3,42
"S","Thin","B6","D6",1,34
"S","Thin","B6","D6",2,44
"S","Thin","B6","D6",3,30
"S","Thin","B6","L6",1,13
"S","Thin","B6","L6",2,25
"S","Thin","B6","L6",3,20
"S","Thin","B6","D7",1,36
"S","Thin","B6","D7",2,43
"S","Thin","B6","D7",3,35
"S","Thin","B6","L7",1,11
"S","Thin","B6","L7",2,29
"S","Thin","B6","L7",3,20
"S","Thin","B6","L8",1,15
"S","Thin","B6","L8",2,31
"S","Thin","B6","L8",3,26
"S","Thin","B6","W9",1,13
"S","Thin","B6","W9",2,21
"S","Thin","B6","W9",3,15
"S","Thin","B6","L9",1,11
"S","Thin","B6","L9",2,33
"S","Thin","B6","L9",3,15
